c,trun,f,value,scenario
kuw,2016,diesel,43.67911755329341,B
kuw,2016,NG,440.00000000000006,B
kuw,2016,Arablight,28.236,B
kuw,2017,HFO,157.6,B
kuw,2017,diesel,45.42430036762357,B
kuw,2017,NG,480.0,B
kuw,2017,Arablight,27.15,B
kuw,2018,HFO,160.752,B
kuw,2018,diesel,78.69164679307652,B
kuw,2018,NG,480.0,B
kuw,2018,Arablight,27.692999999999998,B
kuw,2019,HFO,162.328,B
kuw,2019,diesel,80.42777436953784,B
kuw,2019,NG,520.0,B
kuw,2019,Arablight,27.9645,B
kuw,2020,HFO,165.48,B
kuw,2020,diesel,123.45806064999695,B
kuw,2020,NG,520.0,B
kuw,2020,Arablight,28.5075,B
kuw,2021,HFO,89.3283814099346,B
kuw,2021,NG,560.0,B
kuw,2022,HFO,114.99419379134764,B
kuw,2022,NG,560.0,B
kuw,2023,HFO,113.39218179061152,B
kuw,2023,NG,600.0,B
kuw,2024,HFO,108.54315603607469,B
kuw,2024,NG,640.0,B
kuw,2025,NG,640.0,B
kuw,2026,NG,678.3979873766782,B
kuw,2027,NG,680.0,B
kuw,2028,NG,720.0,B
kuw,2029,NG,720.0,B
kuw,2030,NG,760.0,B
bah,2015,NG,128.72424337809395,B
bah,2016,NG,137.30862359009438,B
bah,2017,NG,143.03452190963108,B
bah,2018,NG,148.76042022916786,B
bah,2019,NG,155.98122756869057,B
bah,2020,NG,161.81017369184434,B
bah,2021,NG,168.16589390932657,B
bah,2022,NG,175.6125931503181,B
bah,2023,NG,184.55186913473216,B
bah,2024,NG,192.00201188179864,B
bah,2025,NG,200.98485509622185,B
bah,2026,NG,208.62024153206795,B
bah,2027,NG,216.28838077070873,B
bah,2028,NG,223.34295786582555,B
bah,2029,NG,229.38973823374812,B
bah,2030,NG,236.44431532858817,B
omn,2015,NG,281.7467875703302,B
omn,2016,NG,299.50930375081975,B
omn,2017,NG,308.74528164247124,B
omn,2018,NG,320.5869590961301,B
omn,2019,NG,335.3890559132001,B
omn,2020,NG,292.27984766107096,B
omn,2021,NG,306.14781733694156,B
omn,2022,NG,314.1206724108704,B
omn,2023,NG,321.56926123032207,B
omn,2024,NG,335.40958053255645,B
omn,2025,NG,352.2585316361933,B
omn,2026,NG,366.56297228075954,B
omn,2027,NG,384.14490703087927,B
omn,2028,NG,403.76478683195944,B
omn,2029,NG,418.49508647218164,B
omn,2030,NG,435.81069686632236,B
ksa,2015,HFO,390.5919,C
ksa,2015,diesel,451.5337242,C
ksa,2015,NG,1250.51076156,C
ksa,2015,Arablight,1447.5689306011434,C
ksa,2016,HFO,624.94704,C
ksa,2016,diesel,397.349677296,C
ksa,2016,NG,1375.561837716,C
ksa,2016,Arablight,1363.2265429306306,C
ksa,2017,HFO,898.3613699999999,C
ksa,2017,diesel,370.25765384400006,C
ksa,2017,NG,1451.7552292015348,C
ksa,2017,Arablight,937.1815838218831,C
ksa,2018,HFO,1015.5389399999999,C
ksa,2018,diesel,343.165630392,C
ksa,2018,NG,1550.7823877634507,C
ksa,2018,Arablight,834.0287851626106,C
ksa,2019,HFO,351.7728522322011,C
ksa,2019,diesel,55.53395862976777,C
ksa,2019,NG,1427.8317840491738,C
ksa,2019,Arablight,3241.5651991542727,C
ksa,2020,HFO,394.9808514004522,C
ksa,2020,diesel,51.04158342218883,C
ksa,2020,NG,1517.2939611789907,C
ksa,2020,Arablight,3648.149038468288,C
ksa,2021,HFO,416.6504747147309,C
ksa,2021,diesel,48.34222829983824,C
ksa,2021,NG,1604.4567184179891,C
ksa,2021,Arablight,3359.041402172906,C
ksa,2022,HFO,514.2027473042554,C
ksa,2022,diesel,34.141627937105916,C
ksa,2022,NG,1694.8409082549888,C
ksa,2022,Arablight,3193.81426975329,C
ksa,2023,HFO,631.9050686500179,C
ksa,2023,diesel,56.5429709678251,C
ksa,2023,NG,1785.7532707932114,C
ksa,2023,Arablight,3288.5101518182278,C
ksa,2023,Coal,4.8538385530251964e-05,C
ksa,2024,HFO,778.4751048065486,C
ksa,2024,diesel,58.648904366814016,C
ksa,2024,NG,1877.269045005598,C
ksa,2024,Arablight,3466.1837161980575,C
ksa,2024,Coal,0.00015948331797354444,C
ksa,2025,HFO,874.9743874439313,C
ksa,2025,diesel,65.2978096258569,C
ksa,2025,NG,1993.4711640285823,C
ksa,2025,Arablight,3559.561101964704,C
ksa,2025,Coal,0.0005604732694278068,C
ksa,2026,HFO,1144.4244563035784,C
ksa,2026,diesel,84.74188451406384,C
ksa,2026,NG,2133.342894492439,C
ksa,2026,Arablight,3494.744956891989,C
ksa,2026,Coal,3.9459712386067567,C
ksa,2027,HFO,1283.8397911781947,C
ksa,2027,diesel,89.96507281651323,C
ksa,2027,NG,2263.4686900540532,C
ksa,2027,Arablight,3267.765862529205,C
ksa,2027,Coal,5.785289454242741,C
ksa,2028,HFO,1325.3359141295775,C
ksa,2028,diesel,72.25850131757753,C
ksa,2028,NG,2396.260138816052,C
ksa,2028,Arablight,2933.145258821964,C
ksa,2028,Coal,7.551349895234695,C
ksa,2029,HFO,1364.3729286879238,C
ksa,2029,diesel,45.16158991652591,C
ksa,2029,NG,2545.360983655523,C
ksa,2029,Arablight,2677.128259823748,C
ksa,2029,Coal,7.781080930779808,C
ksa,2030,HFO,1407.9282915462,C
ksa,2030,diesel,18.06111669516621,C
ksa,2030,NG,2779.810273341443,C
ksa,2030,Arablight,2404.5849966978335,C
ksa,2030,Coal,2.088857234245109,C
uae,2015,NG,1137.5190043479602,C
uae,2016,NG,1183.7434571153142,C
uae,2017,NG,1245.5594567236342,C
uae,2018,NG,1301.6718033038892,C
uae,2019,NG,2060.771963726438,C
uae,2020,NG,2068.885551083962,C
uae,2021,NG,1699.617607470103,C
uae,2022,NG,1686.834808780034,C
uae,2022,Coal,4.04839753463057,C
uae,2023,NG,1742.7679717010624,C
uae,2023,Coal,10.737054733869156,C
uae,2024,NG,1857.081646818559,C
uae,2024,Coal,23.45915556898364,C
uae,2025,NG,1890.889146412427,C
uae,2025,Coal,41.737949790323725,C
uae,2026,NG,2076.0587139683066,C
uae,2026,Coal,69.54208347047215,C
uae,2027,NG,2234.7750429105217,C
uae,2027,Coal,79.58597219224922,C
uae,2028,NG,2242.2780229932323,C
uae,2028,Coal,77.21569991152842,C
