trun,c,value,scenario
2018,kuw,45.42554473876953,D
2018,bah,8.00143051147461,D
2018,omn,20.770776748657227,D
2019,ksa,251.88936614990234,D
2019,uae,66.71107864379883,D
2019,qat,22.03904151916504,D
2019,kuw,39.0437126159668,D
2019,bah,5.907527923583984,D
2019,omn,17.711339950561523,D
2020,ksa,260.5488586425781,D
2020,uae,69.23637962341309,D
2020,qat,23.850210189819336,D
2020,kuw,42.43225860595703,D
2020,bah,6.034523010253906,D
2020,omn,18.015897750854492,D
2021,ksa,261.55493354797363,D
2021,uae,59.5493106842041,D
2021,qat,25.000551223754883,D
2021,kuw,31.61214828491211,D
2021,bah,6.354927062988281,D
2021,omn,16.89244270324707,D
2022,ksa,267.7084159851074,D
2022,uae,67.9673080444336,D
2022,qat,25.747024536132812,D
2022,kuw,33.539649963378906,D
2022,bah,6.675329208374023,D
2022,omn,17.461523056030273,D
2023,ksa,276.58543968200684,D
2023,uae,69.65388870239258,D
2023,qat,27.072397232055664,D
2023,kuw,35.54174041748047,D
2023,bah,7.059814453125,D
2023,omn,19.252197265625,D
2024,ksa,292.4791831970215,D
2024,uae,76.5125503540039,D
2024,qat,28.003440856933594,D
2024,kuw,37.299978256225586,D
2024,bah,7.708257675170898,D
2024,omn,20.335742950439453,D
2025,ksa,305.4070339202881,D
2025,uae,72.71755409240723,D
2025,qat,29.055774688720703,D
2025,kuw,33.95840072631836,D
2025,bah,8.223403930664062,D
2025,omn,21.262882232666016,D
2026,ksa,318.2200984954834,D
2026,uae,75.38786125183105,D
2026,qat,30.108078002929688,D
2026,kuw,35.995798110961914,D
2026,bah,9.695169448852539,D
2026,omn,21.927839279174805,D
2027,ksa,334.46642112731934,D
2027,uae,77.68960762023926,D
2027,qat,31.31068992614746,D
2027,kuw,36.0807991027832,D
2027,bah,9.587409973144531,D
2027,omn,22.85558319091797,D
2028,ksa,347.7205219268799,D
2028,uae,80.15183639526367,D
2028,qat,32.521047592163086,D
2028,kuw,38.20319938659668,D
